"By age ","By qualification of stay","PERIOD","Total","Male","Female",
"74 s","Art and Entertainment","2001 ","0","0","0",
"74 s","Art and Entertainment","2002 ","0","0","0",
"74 s","Art and Entertainment","2003 ","1","0","1",
"74 s","Art and Entertainment","2004 ","0","0","0",
"74 s","Art and Entertainment","2005 ","0","0","0",
"74 s","Art and Entertainment","2006 ","0","0","0",
"74 s","Art and Entertainment","2007 ","0","0","0",
"74 s","Art and Entertainment","2008 ","0","0","0",
"74 s","Art and Entertainment","2009 ","0","0","0",
"74 s","Art and Entertainment","2010 ","0","0","0",
"74 s","Unskilled Employment","2000 ","0","0","0",
"74 s","Unskilled Employment","2001 ","0","0","0",
"74 s","Unskilled Employment","2002 ","0","0","0",
"74 s","Unskilled Employment","2003 ","0","0","0",
"74 s","Unskilled Employment","2004 ","1","1","0",
"74 s","Unskilled Employment","2005 ","1","0","1",
"74 s","Unskilled Employment","2006 ","1","1","0",
"74 s","Unskilled Employment","2007 ","1","0","1",
"74 s","Unskilled Employment","2008 ","0","0","0",
"74 s","Unskilled Employment","2009 ","0","0","0",
"74 s","Unskilled Employment","2010 ","0","0","0",
"74 s","Visiting and Joining Family","2000 ","12","7","5",
"74 s","Visiting and Joining Family","2001 ","15","5","10",
"74 s","Visiting and Joining Family","2002 ","18","4","14",
"74 s","Visiting and Joining Family","2003 ","16","5","11",
"74 s","Visiting and Joining Family","2004 ","17","7","10",
"74 s","Visiting and Joining Family","2005 ","33","15","18",
"74 s","Visiting and Joining Family","2006 ","37","12","25",
"74 s","Visiting and Joining Family","2007 ","39","23","16",
"74 s","Visiting and Joining Family","2008 ","53","30","23",
"74 s","Visiting and Joining Family","2009 ","12","5","7",
"74 s","Visiting and Joining Family","2010 ","16","7","9",
"74 s","Visiting and Joining Family","2011 ","48","12","36",
"74 s","Visiting and Joining Family","2012 ","176","46","130",
"74 s","Visiting and Joining Family","2013 ","151","40","111",
"74 s","Visiting and Joining Family","2014 ","28","7","21",
"74 s","Visiting and Joining Family","2015 ","13","5","8",
"74 s","Visiting and Joining Family","2016 ","10","3","7",
"74 s","Visiting and Joining Family","2017 ","11","7","4",
"74 s","Visiting and Joining Family","2018 ","12","5","7",
"74 s","Visiting and Joining Family","2019 ","15","9","6",
"74 s","Overseas Koreans","2000 ","1","1","0",
"74 s","Overseas Koreans","2001 ","9","6","3",
"74 s","Overseas Koreans","2002 ","9","5","4",
"74 s","Overseas Koreans","2003 ","5","3","2",
"74 s","Overseas Koreans","2004 ","10","7","3",
"74 s","Overseas Koreans","2005 ","10","4","6",
"74 s","Overseas Koreans","2006 ","13","2","11",
"74 s","Overseas Koreans","2007 ","13","1","12",
"74 s","Overseas Koreans","2008 ","22","11","11",
"74 s","Overseas Koreans","2009 ","33","16","17",
"74 s","Overseas Koreans","2010 ","34","18","16",
"74 s","Overseas Koreans","2011 ","47","27","20",
"74 s","Overseas Koreans","2012 ","87","51","36",
"74 s","Overseas Koreans","2013 ","155","65","90",
"74 s","Overseas Koreans","2014 ","428","143","285",
"74 s","Overseas Koreans","2015 ","469","153","316",
"74 s","Overseas Koreans","2016 ","545","184","361",
"74 s","Overseas Koreans","2017 ","498","182","316",
"74 s","Overseas Koreans","2018 ","533","202","331",
"74 s","Overseas Koreans","2019 ","521","195","326",
"74 s","Permanent Residence","2000 ","0","0","0",
"74 s","Permanent Residence","2001 ","0","0","0",
"74 s","Permanent Residence","2002 ","0","0","0",
"74 s","Permanent Residence","2003 ","0","0","0",
"74 s","Permanent Residence","2004 ","8","6","2",
"74 s","Permanent Residence","2005 ","4","2","2",
"74 s","Permanent Residence","2006 ","1","1","0",
"74 s","Permanent Residence","2007 ","4","0","4",
"74 s","Permanent Residence","2008 ","5","1","4",
"74 s","Permanent Residence","2009 ","3","1","2",
"74 s","Permanent Residence","2010 ","2","0","2",
"74 s","Permanent Residence","2011 ","5","3","2",
"74 s","Permanent Residence","2012 ","10","6","4",
"74 s","Permanent Residence","2013 ","14","5","9",
"74 s","Permanent Residence","2014 ","14","6","8",
"74 s","Permanent Residence","2015 ","17","8","9",
"74 s","Permanent Residence","2016 ","15","6","9",
"74 s","Permanent Residence","2017 ","12","8","4",
"74 s","Permanent Residence","2018 ","20","9","11",
"74 s","Permanent Residence","2019 ","11","7","4",
"74 s","Marriage Immigration","2012 ","9","3","6",
"74 s","Marriage Immigration","2013 ","4","3","1",
"74 s","Marriage Immigration","2014 ","1","0","1",
"74 s","Marriage Immigration","2015 ","4","3","1",
"74 s","Marriage Immigration","2016 ","4","2","2",
"74 s","Marriage Immigration","2017 ","3","3","0",
"74 s","Marriage Immigration","2018 ","6","5","1",
"74 s","Marriage Immigration","2019 ","3","3","0",
"75 s","Total","2000 ","131","63","68",
"75 s","Total","2001 ","97","41","56",
"75 s","Total","2002 ","108","58","50",
"75 s","Total","2003 ","118","49","69",
"75 s","Total","2004 ","148","60","88",
"75 s","Total","2005 ","218","72","146",
"75 s","Total","2006 ","175","63","112",
"75 s","Total","2007 ","194","64","130",
"75 s","Total","2008 ","191","73","118",
"75 s","Total","2009 ","143","57","86",
"75 s","Total","2010 ","220","91","129",
"75 s","Total","2011 ","292","127","165",
"75 s","Total","2012 ","364","128","236",
"75 s","Total","2013 ","376","143","233",
"75 s","Total","2014 ","527","167","360",
"75 s","Total","2015 ","577","180","397",
"75 s","Total","2016 ","618","217","401",
"75 s","Total","2017 ","557","211","346",
"75 s","Total","2018 ","586","213","373",
"75 s","Total","2019 ","529","194","335",
"75 s","Sightseeing Pass","2000 ","27","13","14",
"75 s","Sightseeing Pass","2001 ","29","18","11",
"75 s","Sightseeing Pass","2002 ","28","19","9",
"75 s","Sightseeing Pass","2003 ","26","17","9",
"75 s","Sightseeing Pass","2004 ","26","13","13",
"75 s","Sightseeing Pass","2005 ","29","12","17",
"75 s","Sightseeing Pass","2006 ","35","12","23",
"75 s","Sightseeing Pass","2007 ","23","12","11",
"75 s","Sightseeing Pass","2008 ","26","14","12",
"75 s","Sightseeing Pass","2009 ","27","15","12",
"75 s","Sightseeing Pass","2010 ","32","13","19",
"75 s","Sightseeing Pass","2011 ","41","20","21",
"75 s","Sightseeing Pass","2012 ","63","28","35",
"75 s","Sightseeing Pass","2013 ","41","20","21",
"75 s","Sightseeing Pass","2014 ","34","15","19",
"75 s","Sightseeing Pass","2015 ","51","20","31",
"75 s","Sightseeing Pass","2016 ","68","37","31",
"75 s","Sightseeing Pass","2017 ","58","24","34",
"75 s","Sightseeing Pass","2018 ","41","22","19",
"75 s","Sightseeing Pass","2019 ","35","16","19",
"75 s","Short-term Business","2000 ","1","1","0",
"75 s","Short-term Business","2001 ","0","0","0",
"75 s","Short-term Business","2002 ","0","0","0",
"75 s","Short-term Business","2003 ","1","1","0",
"75 s","Short-term Business","2004 ","0","0","0",
"75 s","Short-term Business","2005 ","1","1","0",
"75 s","Short-term Business","2006 ","2","2","0",
"75 s","Short-term Business","2007 ","0","0","0",
"75 s","Short-term Business","2008 ","0","0","0",
"75 s","Short-term Business","2009 ","0","0","0",
"75 s","Short-term Business","2010 ","0","0","0",
"75 s","Short-term Visitors","2000 ","66","33","33",
"75 s","Short-term Visitors","2001 ","33","10","23",
"75 s","Short-term Visitors","2002 ","48","23","25",
"75 s","Short-term Visitors","2003 ","51","15","36",
"75 s","Short-term Visitors","2004 ","70","18","52",
"75 s","Short-term Visitors","2005 ","137","30","107",
"75 s","Short-term Visitors","2006 ","86","21","65",
"75 s","Short-term Visitors","2007 ","75","17","58",
"75 s","Short-term Visitors","2008 ","34","9","25",
"75 s","Short-term Visitors","2009 ","32","8","24",
"75 s","Short-term Visitors","2010 ","89","26","63",
"75 s","Short-term Visitors","2011 ","102","36","66",
"75 s","Short-term Visitors","2012 ","27","4","23",
"75 s","Short-term Visitors","2013 ","43","17","26",
"75 s","Short-term Visitors","2014 ","25","9","16",
"75 s","Short-term Visitors","2015 ","32","16","16",
"75 s","Short-term Visitors","2016 ","26","10","16",
"75 s","Short-term Visitors","2017 ","16","7","9",
"75 s","Short-term Visitors","2018 ","14","4","10",
"75 s","Short-term Visitors","2019 ","22","6","16",
"75 s","Short-term Employment","2000 ","0","0","0",
"75 s","Short-term Employment","2001 ","0","0","0",
"75 s","Short-term Employment","2002 ","0","0","0",
"75 s","Short-term Employment","2003 ","0","0","0",
"75 s","Short-term Employment","2004 ","0","0","0",
"75 s","Short-term Employment","2005 ","1","1","0",
"75 s","Short-term Employment","2006 ","0","0","0",
"75 s","Short-term Employment","2007 ","0","0","0",
"75 s","Short-term Employment","2008 ","0","0","0",
"75 s","Short-term Employment","2009 ","0","0","0",
"75 s","Short-term Employment","2010 ","0","0","0",
"75 s","Job Seeking","2000 ","0","0","0",
"75 s","Job Seeking","2001 ","0","0","0",
"75 s","Job Seeking","2002 ","0","0","0",
"75 s","Job Seeking","2003 ","0","0","0",
"75 s","Job Seeking","2004 ","0","0","0",
"75 s","Job Seeking","2005 ","0","0","0",
"75 s","Job Seeking","2006 ","0","0","0",
"75 s","Job Seeking","2007 ","0","0","0",
"75 s","Job Seeking","2008 ","0","0","0",
"75 s","Job Seeking","2009 ","0","0","0",
"75 s","Job Seeking","2010 ","0","0","0",
"75 s","study","2000 ","0","0","0",
"75 s","study","2001 ","0","0","0",
"75 s","study","2002 ","0","0","0",
"75 s","study","2003 ","0","0","0",
"75 s","study","2004 ","0","0","0",
"75 s","study","2005 ","0","0","0",
"75 s","study","2006 ","0","0","0",
"75 s","study","2007 ","0","0","0",
"75 s","study","2008 ","0","0","0",
"75 s","study","2009 ","0","0","0",
"75 s","study","2010 ","0","0","0",
"75 s","General Trainees","2000 ","1","0","1",
"75 s","General Trainees","2001 ","0","0","0",
"75 s","General Trainees","2002 ","0","0","0",
"75 s","General Trainees","2003 ","0","0","0",
"75 s","General Trainees","2004 ","0","0","0",
"75 s","General Trainees","2005 ","0","0","0",
"75 s","General Trainees","2006 ","0","0","0",
"75 s","General Trainees","2007 ","0","0","0",
"75 s","General Trainees","2008 ","0","0","0",
"75 s","General Trainees","2009 ","0","0","0",
"75 s","General Trainees","2010 ","0","0","0",
"75 s","Religious Activities","2000 ","1","1","0",
"75 s","Religious Activities","2001 ","2","1","1",
"75 s","Religious Activities","2002 ","1","1","0",
"75 s","Religious Activities","2003 ","0","0","0",
"75 s","Religious Activities","2004 ","0","0","0",
"75 s","Religious Activities","2005 ","0","0","0",
"75 s","Religious Activities","2006 ","2","1","1",
"75 s","Religious Activities","2007 ","0","0","0",
"75 s","Religious Activities","2008 ","3","2","1",
"75 s","Religious Activities","2009 ","0","0","0",
"75 s","Religious Activities","2010 ","1","1","0",
"75 s","Religious Activities","2011 ","3","3","",
"75 s","Religious Activities","2013 ","1","1","0",
"75 s","Religious Activities","2014 ","2","1","1",
"75 s","Religious Activities","2016 ","1","0","1",
"75 s","Religious Activities","2017 ","2","1","1",
"75 s","Religious Activities","2018 ","1","0","1",
"75 s","Religious Activities","2019 ","1","1","0",
"75 s","Investors","2000 ","0","0","0",
"75 s","Investors","2001 ","0","0","0",
"75 s","Investors","2002 ","0","0","0",
"75 s","Investors","2003 ","0","0","0",
"75 s","Investors","2004 ","0","0","0",
"75 s","Investors","2005 ","0","0","0",
"75 s","Investors","2006 ","0","0","0",
"75 s","Investors","2007 ","0","0","0",
"75 s","Investors","2008 ","0","0","0",
"75 s","Investors","2009 ","0","0","0",
"75 s","Investors","2010 ","1","1","0",
"75 s","Trade and Business","2000 ","0","0","0",
"75 s","Trade and Business","2001 ","0","0","0",
"75 s","Trade and Business","2002 ","0","0","0",
"75 s","Trade and Business","2003 ","0","0","0",
"75 s","Trade and Business","2004 ","0","0","0",
"75 s","Trade and Business","2005 ","0","0","0",
"75 s","Trade and Business","2006 ","0","0","0",
"75 s","Trade and Business","2007 ","0","0","0",
"75 s","Trade and Business","2008 ","0","0","0",
"75 s","Trade and Business","2009 ","0","0","0",
"75 s","Trade and Business","2010 ","0","0","0",
"75 s","Trade and Business","2011 ","2","2","",
"75 s","Trade and Business","2013 ","1","1","0",
"75 s","Trade and Business","2014 ","1","1","0",
"75 s","Trade and Business","2016 ","1","1","0",
"75 s","Trade and Business","2017 ","1","1","0",
"75 s","Trade and Business","2018 ","1","1","0",
"75 s","Research","2000 ","0","0","0",
"75 s","Research","2001 ","0","0","0",
"75 s","Research","2002 ","0","0","0",
"75 s","Research","2003 ","0","0","0",
"75 s","Research","2004 ","0","0","0",
"75 s","Research","2005 ","1","1","0",
"75 s","Research","2006 ","0","0","0",
"75 s","Research","2007 ","0","0","0",
"75 s","Research","2008 ","0","0","0",
"75 s","Research","2009 ","1","1","0",
"75 s","Research","2010 ","0","0","0",
"75 s","Research","2013 ","1","1","0",
"75 s","Art and Entertainment","2000 ","0","0","0",
"75 s","Art and Entertainment","2001 ","0","0","0",
"75 s","Art and Entertainment","2002 ","0","0","0",
"75 s","Art and Entertainment","2003 ","0","0","0",
"75 s","Art and Entertainment","2004 ","0","0","0",
"75 s","Art and Entertainment","2005 ","0","0","0",
"75 s","Art and Entertainment","2006 ","0","0","0",
"75 s","Art and Entertainment","2007 ","0","0","0",
"75 s","Art and Entertainment","2008 ","0","0","0",
"75 s","Art and Entertainment","2009 ","0","0","0",
"75 s","Art and Entertainment","2010 ","0","0","0",
"75 s","Unskilled Employment","2000 ","0","0","0",
"75 s","Unskilled Employment","2001 ","0","0","0",
"75 s","Unskilled Employment","2002 ","0","0","0",
"75 s","Unskilled Employment","2003 ","0","0","0",
"75 s","Unskilled Employment","2004 ","1","1","0",
"75 s","Unskilled Employment","2005 ","1","1","0",
"75 s","Unskilled Employment","2006 ","0","0","0",
"75 s","Unskilled Employment","2007 ","0","0","0",
"75 s","Unskilled Employment","2008 ","0","0","0",
"75 s","Unskilled Employment","2009 ","0","0","0",
"75 s","Unskilled Employment","2010 ","0","0","0",
"75 s","Visiting and Joining Family","2000 ","20","7","13",
"75 s","Visiting and Joining Family","2001 ","16","5","11",
"75 s","Visiting and Joining Family","2002 ","11","6","5",
"75 s","Visiting and Joining Family","2003 ","19","4","15",
"75 s","Visiting and Joining Family","2004 ","16","7","9",
"75 s","Visiting and Joining Family","2005 ","25","10","15",
"75 s","Visiting and Joining Family","2006 ","26","14","12",
"75 s","Visiting and Joining Family","2007 ","44","15","29",
"75 s","Visiting and Joining Family","2008 ","36","15","21",
"75 s","Visiting and Joining Family","2009 ","18","9","9",
"75 s","Visiting and Joining Family","2010 ","9","3","6",
"75 s","Visiting and Joining Family","2011 ","49","18","31",
"75 s","Visiting and Joining Family","2012 ","133","22","111",
"75 s","Visiting and Joining Family","2013 ","129","35","94",
"75 s","Visiting and Joining Family","2014 ","25","5","20",
"75 s","Visiting and Joining Family","2015 ","14","5","9",
"75 s","Visiting and Joining Family","2016 ","13","7","6",
"75 s","Visiting and Joining Family","2017 ","7","2","5",
"75 s","Visiting and Joining Family","2018 ","8","5","3",
"75 s","Visiting and Joining Family","2019 ","8","5","3",
"75 s","Overseas Koreans","2000 ","1","1","0",
"75 s","Overseas Koreans","2001 ","5","2","3",
"75 s","Overseas Koreans","2002 ","3","2","1",
"75 s","Overseas Koreans","2003 ","8","5","3",
"75 s","Overseas Koreans","2004 ","13","6","7",
"75 s","Overseas Koreans","2005 ","9","6","3",
"75 s","Overseas Koreans","2006 ","10","6","4",
"75 s","Overseas Koreans","2007 ","13","5","8",
"75 s","Overseas Koreans","2008 ","17","8","9",
"75 s","Overseas Koreans","2009 ","18","10","8",
"75 s","Overseas Koreans","2010 ","35","21","14",
"75 s","Overseas Koreans","2011 ","45","24","21",
"75 s","Overseas Koreans","2012 ","90","52","38",
"75 s","Overseas Koreans","2013 ","127","54","73",
"75 s","Overseas Koreans","2014 ","415","126","289",
"75 s","Overseas Koreans","2015 ","455","129","326",
"75 s","Overseas Koreans","2016 ","478","146","332",
"75 s","Overseas Koreans","2017 ","442","158","284",
"75 s","Overseas Koreans","2018 ","493","164","329",
"75 s","Overseas Koreans","2019 ","437","150","287",
"75 s","Permanent Residence","2000 ","0","0","0",
"75 s","Permanent Residence","2001 ","0","0","0",
"75 s","Permanent Residence","2002 ","0","0","0",
"75 s","Permanent Residence","2003 ","3","2","1",
"75 s","Permanent Residence","2004 ","2","2","0",
"75 s","Permanent Residence","2005 ","2","2","0",
"75 s","Permanent Residence","2006 ","2","1","1",
"75 s","Permanent Residence","2007 ","3","2","1",
"75 s","Permanent Residence","2008 ","5","2","3",
"75 s","Permanent Residence","2009 ","7","1","6",
"75 s","Permanent Residence","2010 ","3","2","1",
"75 s","Permanent Residence","2011 ","2","","2",
"75 s","Permanent Residence","2012 ","6","1","5",
"75 s","Permanent Residence","2013 ","10","6","4",
"75 s","Permanent Residence","2014 ","7","5","2",
"75 s","Permanent Residence","2015 ","13","5","8",
"75 s","Permanent Residence","2016 ","13","4","9",
"75 s","Permanent Residence","2017 ","13","6","7",
"75 s","Permanent Residence","2018 ","7","5","2",
"75 s","Permanent Residence","2019 ","11","5","6",
"75 s","Marriage Immigration","2012 ","6","5","1",
"75 s","Marriage Immigration","2013 ","4","4","0",
"75 s","Marriage Immigration","2014 ","4","1","3",
"75 s","Marriage Immigration","2015 ","3","2","1",
"75 s","Marriage Immigration","2016 ","4","4","0",
"75 s","Marriage Immigration","2017 ","7","5","2",
"75 s","Marriage Immigration","2018 ","5","5","0",
"75 s","Marriage Immigration","2019 ","4","4","0",
"76 s","Total","2000 ","89","41","48",
"76 s","Total","2001 ","87","42","45",
"76 s","Total","2002 ","91","33","58",
"76 s","Total","2003 ","97","37","60",
"76 s","Total","2004 ","139","52","87",
"76 s","Total","2005 ","182","66","116",
"76 s","Total","2006 ","165","58","107",
"76 s","Total","2007 ","137","46","91",
"76 s","Total","2008 ","186","57","129",
"76 s","Total","2009 ","137","62","75",
"76 s","Total","2010 ","167","72","95",
"76 s","Total","2011 ","239","92","147",
"76 s","Total","2012 ","323","115","208",
"76 s","Total","2013 ","327","118","209",
"76 s","Total","2014 ","485","151","334",
"76 s","Total","2015 ","548","184","364",
"76 s","Total","2016 ","576","189","387",
"76 s","Total","2017 ","528","185","343",
"76 s","Total","2018 ","559","184","375",
"76 s","Total","2019 ","521","183","338",
"76 s","Sightseeing Pass","2000 ","16","10","6",
"76 s","Sightseeing Pass","2001 ","32","20","12",
"76 s","Sightseeing Pass","2002 ","22","10","12",
"76 s","Sightseeing Pass","2003 ","26","13","13",
"76 s","Sightseeing Pass","2004 ","30","16","14",
"76 s","Sightseeing Pass","2005 ","24","13","11",
"76 s","Sightseeing Pass","2006 ","25","12","13",
"76 s","Sightseeing Pass","2007 ","16","7","9",
"76 s","Sightseeing Pass","2008 ","22","6","16",
"76 s","Sightseeing Pass","2009 ","23","10","13",
"76 s","Sightseeing Pass","2010 ","34","14","20",
"76 s","Sightseeing Pass","2011 ","33","13","20",
"76 s","Sightseeing Pass","2012 ","49","20","29",
"76 s","Sightseeing Pass","2013 ","38","23","15",
"76 s","Sightseeing Pass","2014 ","41","22","19",
"76 s","Sightseeing Pass","2015 ","38","15","23",
"76 s","Sightseeing Pass","2016 ","49","18","31",
"76 s","Sightseeing Pass","2017 ","27","13","14",
"76 s","Sightseeing Pass","2018 ","45","23","22",
"76 s","Sightseeing Pass","2019 ","29","13","16",
"76 s","Short-term Business","2000 ","0","0","0",
"76 s","Short-term Business","2001 ","0","0","0",
"76 s","Short-term Business","2002 ","0","0","0",
"76 s","Short-term Business","2003 ","1","0","1",
"76 s","Short-term Business","2004 ","1","1","0",
"76 s","Short-term Business","2005 ","3","2","1",
"76 s","Short-term Business","2006 ","1","0","1",
"76 s","Short-term Business","2007 ","0","0","0",
"76 s","Short-term Business","2008 ","0","0","0",
"76 s","Short-term Business","2009 ","0","0","0",
"76 s","Short-term Business","2010 ","0","0","0",
"76 s","Short-term Visitors","2000 ","48","20","28",
"76 s","Short-term Visitors","2001 ","23","7","16",
"76 s","Short-term Visitors","2002 ","37","5","32",
"76 s","Short-term Visitors","2003 ","39","5","34",
"76 s","Short-term Visitors","2004 ","63","19","44",
"76 s","Short-term Visitors","2005 ","99","23","76",
"76 s","Short-term Visitors","2006 ","85","25","60",
"76 s","Short-term Visitors","2007 ","54","9","45",
"76 s","Short-term Visitors","2008 ","39","10","29",
"76 s","Short-term Visitors","2009 ","46","14","32",
"76 s","Short-term Visitors","2010 ","61","22","39",
"76 s","Short-term Visitors","2011 ","91","33","58",
"76 s","Short-term Visitors","2012 ","22","7","15",
"76 s","Short-term Visitors","2013 ","23","8","15",
"76 s","Short-term Visitors","2014 ","14","6","8",
"76 s","Short-term Visitors","2015 ","18","5","13",
"76 s","Short-term Visitors","2016 ","20","8","12",
"76 s","Short-term Visitors","2017 ","9","4","5",
"76 s","Short-term Visitors","2018 ","11","3","8",
"76 s","Short-term Visitors","2019 ","19","13","6",
"76 s","Short-term Employment","2000 ","0","0","0",
"76 s","Short-term Employment","2001 ","0","0","0",
"76 s","Short-term Employment","2002 ","1","1","0",
"76 s","Short-term Employment","2003 ","0","0","0",
"76 s","Short-term Employment","2004 ","0","0","0",
"76 s","Short-term Employment","2005 ","0","0","0",
"76 s","Short-term Employment","2006 ","0","0","0",
"76 s","Short-term Employment","2007 ","0","0","0",
"76 s","Short-term Employment","2008 ","0","0","0",
"76 s","Short-term Employment","2009 ","0","0","0",
"76 s","Short-term Employment","2010 ","0","0","0",
"76 s","Job Seeking","2000 ","0","0","0",
"76 s","Job Seeking","2001 ","0","0","0",
"76 s","Job Seeking","2002 ","0","0","0",
"76 s","Job Seeking","2003 ","0","0","0",
"76 s","Job Seeking","2004 ","0","0","0",
"76 s","Job Seeking","2005 ","0","0","0",
"76 s","Job Seeking","2006 ","0","0","0",
"76 s","Job Seeking","2007 ","0","0","0",
"76 s","Job Seeking","2008 ","0","0","0",
"76 s","Job Seeking","2009 ","0","0","0",
"76 s","Job Seeking","2010 ","0","0","0",
"76 s","study","2000 ","0","0","0",
"76 s","study","2001 ","0","0","0",
"76 s","study","2002 ","0","0","0",
"76 s","study","2003 ","0","0","0",
"76 s","study","2004 ","0","0","0",
"76 s","study","2005 ","0","0","0",
"76 s","study","2006 ","0","0","0",
"76 s","study","2007 ","0","0","0",
"76 s","study","2008 ","0","0","0",
"76 s","study","2009 ","0","0","0",
"76 s","study","2010 ","0","0","0",
"76 s","General Trainees","2000 ","0","0","0",
"76 s","General Trainees","2001 ","0","0","0",
"76 s","General Trainees","2002 ","0","0","0",
"76 s","General Trainees","2003 ","0","0","0",
"76 s","General Trainees","2004 ","0","0","0",
"76 s","General Trainees","2005 ","0","0","0",
"76 s","General Trainees","2006 ","0","0","0",
"76 s","General Trainees","2007 ","0","0","0",
"76 s","General Trainees","2008 ","0","0","0",
"76 s","General Trainees","2009 ","0","0","0",
"76 s","General Trainees","2010 ","0","0","0",
"76 s","Religious Activities","2000 ","0","0","0",
"76 s","Religious Activities","2001 ","1","0","1",
"76 s","Religious Activities","2002 ","0","0","0",
"76 s","Religious Activities","2003 ","0","0","0",
"76 s","Religious Activities","2004 ","3","1","2",
"76 s","Religious Activities","2005 ","2","1","1",
"76 s","Religious Activities","2006 ","0","0","0",
"76 s","Religious Activities","2007 ","1","1","0",
"76 s","Religious Activities","2008 ","0","0","0",
"76 s","Religious Activities","2009 ","0","0","0",
"76 s","Religious Activities","2010 ","1","1","0",
"76 s","Religious Activities","2012 ","1","1","",
"76 s","Religious Activities","2013 ","1","0","1",
"76 s","Religious Activities","2014 ","2","2","0",
"76 s","Religious Activities","2015 ","2","1","1",
"76 s","Religious Activities","2017 ","1","1","0",
"76 s","Investors","2000 ","0","0","0",
"76 s","Investors","2001 ","0","0","0",
"76 s","Investors","2002 ","2","2","0",
"76 s","Investors","2003 ","1","1","0",
"76 s","Investors","2004 ","0","0","0",
"76 s","Investors","2005 ","0","0","0",
"76 s","Investors","2006 ","0","0","0",
"76 s","Investors","2007 ","0","0","0",
"76 s","Investors","2008 ","0","0","0",
"76 s","Investors","2009 ","0","0","0",
"76 s","Investors","2010 ","0","0","0",
"76 s","Trade and Business","2000 ","0","0","0",
"76 s","Trade and Business","2001 ","0","0","0",
"76 s","Trade and Business","2002 ","0","0","0",
"76 s","Trade and Business","2003 ","0","0","0",
"76 s","Trade and Business","2004 ","0","0","0",
"76 s","Trade and Business","2005 ","0","0","0",
"76 s","Trade and Business","2006 ","0","0","0",
"76 s","Trade and Business","2007 ","0","0","0",
"76 s","Trade and Business","2008 ","0","0","0",
"76 s","Trade and Business","2009 ","0","0","0",
"76 s","Trade and Business","2010 ","0","0","0",
"76 s","Research","2000 ","0","0","0",
"76 s","Research","2001 ","0","0","0",
"76 s","Research","2002 ","0","0","0",
"76 s","Research","2003 ","0","0","0",
"76 s","Research","2004 ","0","0","0",
"76 s","Research","2005 ","0","0","0",
"76 s","Research","2006 ","0","0","0",
"76 s","Research","2007 ","0","0","0",
"76 s","Research","2008 ","0","0","0",
"76 s","Research","2009 ","0","0","0",
"76 s","Research","2010 ","0","0","0",
"76 s","Art and Entertainment","2000 ","0","0","0",
"76 s","Art and Entertainment","2001 ","0","0","0",
"76 s","Art and Entertainment","2002 ","0","0","0",
"76 s","Art and Entertainment","2003 ","0","0","0",
"76 s","Art and Entertainment","2004 ","2","2","0",
"76 s","Art and Entertainment","2005 ","1","1","0",
"76 s","Art and Entertainment","2006 ","1","0","1",
"76 s","Art and Entertainment","2007 ","0","0","0",
"76 s","Art and Entertainment","2008 ","0","0","0",
"76 s","Art and Entertainment","2009 ","0","0","0",
"76 s","Art and Entertainment","2010 ","0","0","0",
"76 s","Unskilled Employment","2000 ","0","0","0",
"76 s","Unskilled Employment","2001 ","0","0","0",
"76 s","Unskilled Employment","2002 ","0","0","0",
"76 s","Unskilled Employment","2003 ","0","0","0",
"76 s","Unskilled Employment","2004 ","0","0","0",
"76 s","Unskilled Employment","2005 ","0","0","0",
"76 s","Unskilled Employment","2006 ","0","0","0",
"76 s","Unskilled Employment","2007 ","0","0","0",
"76 s","Unskilled Employment","2008 ","0","0","0",
"76 s","Unskilled Employment","2009 ","0","0","0",
"76 s","Unskilled Employment","2010 ","0","0","0",
"76 s","Visiting and Joining Family","2000 ","11","3","8",
"76 s","Visiting and Joining Family","2001 ","16","8","8",
"76 s","Visiting and Joining Family","2002 ","11","4","7",
"76 s","Visiting and Joining Family","2003 ","13","10","3",
"76 s","Visiting and Joining Family","2004 ","18","8","10",
"76 s","Visiting and Joining Family","2005 ","37","19","18",
"76 s","Visiting and Joining Family","2006 ","29","6","23",
"76 s","Visiting and Joining Family","2007 ","30","12","18",
"76 s","Visiting and Joining Family","2008 ","30","13","17",
"76 s","Visiting and Joining Family","2009 ","19","12","7",
"76 s","Visiting and Joining Family","2010 ","4","2","2",
"76 s","Visiting and Joining Family","2011 ","38","16","22",
"76 s","Visiting and Joining Family","2012 ","151","34","117",
"76 s","Visiting and Joining Family","2013 ","124","22","102",
"76 s","Visiting and Joining Family","2014 ","30","7","23",
"76 s","Visiting and Joining Family","2015 ","8","5","3",
"76 s","Visiting and Joining Family","2016 ","12","4","8",
"76 s","Visiting and Joining Family","2017 ","9","4","5",
"76 s","Visiting and Joining Family","2018 ","6","4","2",
"76 s","Visiting and Joining Family","2019 ","11","7","4",
"76 s","Overseas Koreans","2000 ","1","0","1",
"76 s","Overseas Koreans","2001 ","1","1","0",
"76 s","Overseas Koreans","2002 ","1","1","0",
"76 s","Overseas Koreans","2003 ","5","4","1",
"76 s","Overseas Koreans","2004 ","7","2","5",
"76 s","Overseas Koreans","2005 ","9","3","6",
"76 s","Overseas Koreans","2006 ","11","8","3",
"76 s","Overseas Koreans","2007 ","10","4","6",
"76 s","Overseas Koreans","2008 ","14","7","7",
"76 s","Overseas Koreans","2009 ","16","12","4",
"76 s","Overseas Koreans","2010 ","28","15","13",
